	mean_fit_time	mean_score_time	mean_test_score	param_C	param_gamma	param_kernel	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0	202.96152424812317	78.36422348022461	0.45395894428152495	1	0.001	rbf	{'gamma': 0.001, 'kernel': 'rbf', 'C': 1}	12	0.43964817320703653	0.4512723335138062	0.4709625016921619	1.1912214214055845	0.2987318025571819	0.012924533615821802
1	273.6569966475169	57.61613893508911	0.6184525152267087	1	0.001	linear	{'gamma': 0.001, 'kernel': 'linear', 'C': 1}	5	0.6427604871447903	0.6285868976719003	0.5839989170163802	12.718537715189257	1.5363618929424114	0.025036959827628595
2	172.7072426478068	72.93864544232686	0.6059102188134446	1	0.01	rbf	{'gamma': 0.01, 'kernel': 'rbf', 'C': 1}	10	0.6384303112313938	0.607471575527883	0.5718153512928117	2.1009731841917723	0.8921092375447961	0.027218149021267717
3	272.6221818129222	56.45399300257365	0.6184525152267087	1	0.01	linear	{'gamma': 0.01, 'kernel': 'linear', 'C': 1}	5	0.6427604871447903	0.6285868976719003	0.5839989170163802	12.438596607555853	0.6139670116095007	0.025036959827628595
4	179.36634850502014	74.36986152331035	0.5898037446424543	5	0.001	rbf	{'gamma': 0.001, 'kernel': 'rbf', 'C': 5}	11	0.6204330175913396	0.5942068218733081	0.5547583592798159	1.38227204187856	1.2389124309627098	0.02699202102654499
5	790.572903474172	55.0424116452535	0.6182269343559667	5	0.001	linear	{'gamma': 0.001, 'kernel': 'linear', 'C': 5}	7	0.6401894451962111	0.6306172171088251	0.5838635440638961	52.636881699240725	1.7392790674136565	0.024607602918823943
6	155.6026577949524	69.18031096458435	0.6220618091585833	5	0.01	rbf	{'gamma': 0.01, 'kernel': 'rbf', 'C': 5}	2	0.649255751014885	0.6283161884136438	0.5886015974008393	3.9304457306832274	2.0398635883774614	0.025154035549735918
7	779.0946705341339	56.289547284444176	0.6182269343559667	5	0.01	linear	{'gamma': 0.01, 'kernel': 'linear', 'C': 5}	7	0.6401894451962111	0.6306172171088251	0.5838635440638961	61.33713111484154	1.34933069368374	0.024607602918823943
8	167.40638796488443	72.78885904947917	0.6076697496052335	10	0.001	rbf	{'gamma': 0.001, 'kernel': 'rbf', 'C': 10}	9	0.6388362652232747	0.6107200866269626	0.5734398267226208	4.752596259182311	3.0106802938844135	0.026785264124077425
9	1165.0602375666301	34.78914451599121	0.6187683284457478	10	0.001	linear	{'gamma': 0.001, 'kernel': 'linear', 'C': 10}	3	0.6403247631935047	0.631429344883595	0.5845404088263165	109.92868500758458	3.536511167400951	0.024470511947747006
10	179.70886079470316	64.46131332715352	0.6269343559666141	10	0.01	rbf	{'gamma': 0.01, 'kernel': 'rbf', 'C': 10}	1	0.6508795669824087	0.6338657282079047	0.5960471097874644	7.094593394147993	5.968871983623946	0.022915744481580527
11	1002.7783150672913	26.631219069163006	0.6187683284457478	10	0.01	linear	{'gamma': 0.01, 'kernel': 'linear', 'C': 10}	3	0.6403247631935047	0.631429344883595	0.5845404088263165	70.44098462980072	0.21325993184613412	0.024470511947747006
